display  I           wgl_disp.c:210  display_pixel_format             [   0.33304] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33306] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33307] Swap method: copy
display  I           wgl_disp.c:216  display_pixel_format             [   0.33308] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33309] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33311] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33312] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33313] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33315] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33316] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33317] Decoding visual no. 23...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33324] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33325] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33326] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33328] Swap method: copy
display  I           wgl_disp.c:216  display_pixel_format             [   0.33329] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33330] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33331] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33333] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33334] color: 32 (rgba 8880), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33335] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33336] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33338] Decoding visual no. 24...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33345] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33346] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33347] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33348] Swap method: copy
display  I           wgl_disp.c:216  display_pixel_format             [   0.33349] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33351] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33352] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33353] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33354] color: 32 (rgba 8888), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33356] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33357] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33358] Decoding visual no. 25...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33365] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33366] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33368] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33369] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.33370] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33371] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33372] Sample buffers: yes
display  I           wgl_disp.c:224  display_pixel_format             [   0.33374] Samples: 2
display  D   display_settings.c:214  debug_display_settings           [   0.33380] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.33382] Score is : 1750
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33383] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33384] Decoding visual no. 26...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33391] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33392] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33393] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33395] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.33396] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33397] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33398] Sample buffers: yes
display  I           wgl_disp.c:224  display_pixel_format             [   0.33399] Samples: 2
